iter	Passed	Remaining
0	38	38801
1	66	33013
2	80	26656
3	91	22890
4	100	19950
5	129	21469
6	145	20648
7	160	19842
8	169	18713
9	201	19920
10	218	19638
11	228	18852
12	237	18050
13	266	18790
14	282	18559
15	294	18124
16	316	18318
17	337	18412
18	349	18069
19	360	17663
20	369	17221
21	398	17708
22	415	17635
23	426	17354
24	437	17045
25	461	17277
26	480	17301
27	492	17105
28	503	16859
29	511	16539
30	544	17010
31	560	16941
32	572	16763
33	580	16490
34	591	16295
35	623	16708
36	637	16586
37	647	16390
38	655	16156
39	679	16301
40	700	16391
41	713	16284
42	723	16095
43	732	15921
44	762	16187
45	777	16132
46	788	15981
47	797	15821
48	807	15664
49	837	15903
50	850	15820
51	860	15695
52	869	15539
53	887	15555
54	908	15614
55	921	15527
56	932	15423
57	941	15292
58	969	15455
59	985	15443
60	998	15366
61	1008	15254
62	1016	15119
63	1049	15347
64	1063	15291
65	1074	15208
66	1083	15083
67	1108	15187
68	1125	15192
69	1138	15125
70	1148	15028
71	1176	15167
72	1193	15161
73	1205	15089
74	1215	14995
75	1246	15154
76	1262	15130
77	1275	15081
78	1285	14985
79	1305	15011
80	1327	15061
81	1339	15000
82	1350	14917
83	1359	14825
84	1390	14968
85	1406	14944
86	1417	14875
87	1426	14780
88	1439	14731
89	1463	14802
90	1477	14756
91	1488	14686
92	1496	14594
93	1515	14611
94	1536	14635
95	1549	14589
96	1559	14513
97	1568	14438
98	1590	14477
99	1610	14497
100	1625	14466
101	1635	14398
102	1643	14313
103	1670	14395
104	1685	14367
105	1697	14314
106	1705	14235
107	1714	14157
108	1741	14237
109	1757	14215
110	1768	14162
111	1778	14098
112	1786	14019
113	1817	14122
114	1831	14096
115	1843	14046
116	1851	13974
117	1875	14021
118	1894	14027
119	1907	13989
120	1917	13930
121	1926	13865
122	1957	13954
123	1972	13931
124	1983	13882
125	1992	13824
126	2013	13840
127	2039	13891
128	2050	13846
129	2061	13794
130	2069	13730
131	2103	13829
132	2116	13799
133	2128	13754
134	2137	13693
135	2162	13739
136	2180	13732
137	2193	13699
138	2202	13641
139	2209	13574
140	2242	13662
141	2258	13643
142	2269	13600
143	2277	13537
144	2297	13545
145	2319	13569
146	2332	13534
147	2341	13481
148	2350	13425
149	2377	13470
150	2392	13453
151	2404	13414
152	2413	13359
153	2422	13307
154	2455	13388
155	2470	13367
156	2481	13323
157	2489	13267
158	2510	13276
159	2528	13276
160	2542	13246
161	2552	13201
162	2560	13147
163	2585	13177
164	2603	13175
165	2615	13140
166	2624	13091
167	2653	13139
168	2669	13125
169	2681	13091
170	2689	13040
171	2720	13096
172	2735	13075
173	2746	13038
174	2755	12988
175	2763	12937
176	2789	12969
177	2803	12946
178	2814	12907
179	2822	12859
180	2831	12810
181	2866	12881
182	2879	12855
183	2889	12812
184	2898	12767
185	2920	12783
186	2938	12777
187	2950	12745
188	2960	12703
189	2968	12656
190	2992	12676
191	3011	12672
192	3024	12647
193	3033	12603
194	3042	12558
195	3069	12590
196	3086	12579
197	3097	12547
198	3107	12506
199	3115	12460
200	3144	12498
201	3159	12480
202	3169	12443
203	3178	12402
204	3202	12420
205	3221	12418
206	3233	12388
207	3245	12357
208	3254	12316
209	3281	12346
210	3298	12334
211	3310	12304
212	3320	12267
213	3327	12222
214	3359	12265
215	3373	12245
216	3384	12211
217	3393	12172
218	3418	12191
219	3436	12183
220	3447	12153
221	3457	12117
222	3466	12078
223	3492	12100
224	3509	12089
225	3523	12066
226	3532	12030
227	3540	11989
228	3572	12027
229	3585	12005
230	3597	11974
231	3605	11935
232	3631	11955
233	3650	11951
234	3663	11925
235	3672	11888
236	3681	11850
237	3715	11894
238	3729	11875
239	3739	11842
240	3749	11808
241	3803	11913
242	3833	11942
243	3857	11952
244	3869	11925
245	3880	11894
246	3895	11874
247	3905	11841
248	3914	11805
249	3942	11828
250	3957	11809
251	3969	11781
252	3995	11797
253	4016	11795
254	4028	11770
255	4038	11737
256	4058	11734
257	4080	11735
258	4092	11708
259	4101	11673
260	4110	11639
261	4128	11628
262	4149	11628
263	4162	11604
264	4172	11573
265	4181	11537
